431258258|The romance of yachting: voyage the first|Joseph C. Hart|305.34|183.204
5857635886|Chambers's journal|William Chambers|721.02|432.612
6375166805|Yachting|john smith|254.16|152.496
8885263748|Notes on a yacht voyage to Hardanger fjord and the adjacent estuaries, by a yachting dabbler [C.W. Rothery].|Charles William Rothery|37.0|22.2
3489220061|The lancet|UM-MEDSEARCH Gateway|87.19|52.314
2918918256|A yacht voyage|Frederick Temple Blackwood Dufferin and Ava (Marquis of)|67.58|40.548
1428644288|A Yacht Voyage|Lord Dufferin|793.91|476.346
3791412204|The Rudder|Thomas Fleming Day|91.23|54.738
394184296X|Yacht Voyage Around England|W. H. G. Kingston|217.8|130.68
1741045495|Antarctica|Jeff Rubin|254.77|152.862
0470114878|Beginning XML|David Hunter|25.99|25.99
0764537288|Writing children's books for dummies|Lisa Rojany-Buccieri|12.99|12.99
7135318207|New York Magazine|john smith|929.79|557.874
1412955629|Starting strong|Kristen Nelson|613.67|368.202
1118057384|Beginning JavaScript|Paul Wilton|25.99|25.99
0060777575|From Cover to Cover|Kathleen T. Horning|9.99|9.99
1118054679|Fundraising For Dummies|John Mutz|69.77|41.862
0316735876|Bartlett's Roget's Thesaurus|Little Brown & Company|42.81|25.686
111806707X|Starting an EBay Business For Dummies|Marsha Collier|0.17|0.102
1118045874|How to Write a Children's Book and Get It Published|Barbara Seuling|658.55|395.13
0373715625|The Stranger's Sin|Darlene Gardner|4.95|3.79
0373805101|What Your Travel Agent Knows That You Don't|Harlequin Books|672.77|403.662
0425217248|The Harlequin|Laurell K. Hamilton|750.22|450.132
0373805136|What Great Chefs Know That You Don't|Harlequin Books|862.81|517.686
0813523893|Feminisms|Robyn R. Warhol|179.59|107.754
0373794924|The Mighty Quinns: Callum|Kate Hoffmann|4.5|3.44
0373794800|The Mighty Quinns: Brody|Kate Hoffmann|4.5|3.44
037379486X|The Mighty Quinns: Teague|Kate Hoffmann|4.5|3.44
7815298982|Jeff Herman's guide to book publishers, editors & literary agents 2007|Jeff Herman|835.23|501.138
037379441X|Come Toy With Me|Cara Summers|4.5|3.44
0231113935|Hobbies|Steven M. Gelber|23.99|14.39
9761811638|Hobbies|Margaret Elizabeth Mulac|203.85|122.31
0895770636|Reader's digest crafts & hobbies|Reader's Digest|534.44|320.664
5085016741|Hobbies|Ship Model Makers' Club|305.49|183.294
0546653049|Hobbies|Inc Icon Group International|294.85|176.91
1563087731|Hobbies through children's books and activities|Nancy Allen Jurenka|114.24|68.544
8920635962|Hobbies|Buffalo Museum of Science|446.1|267.66
1419121960|The Book of Hobbies Or a Guide to Happiness|Charles William Taussig|329.22|197.532
1156266076|Hobbies|Books, LLC|873.19|523.914
1241398267|The Hobbies; A Novel.|Morgan Peter Kavanagh|540.73|324.438
5954898793|Antiquarian books|Philippa Bernard|117.53|70.518
2617530579|Antiquarian books|Roy Harley Lewis|892.35|535.41
6311331555|Antiquarian books|Holland Bros., Birmingham|929.12|557.472
4796702519|Antiquarian books|Europeriodiques, Saint Cloud|113.67|68.202
6207044804|Antiquarian books|john smith|59.52|35.712
1294577723|Bibliotheca Cantiana, Or Antiquarian Kentish Books: Up to the year 1836|john smith|215.69|129.414
180212312|A Directory of dealers in secondhand and antiquarian books in the British Isles|john smith|511.4|306.84
4340210437|Rare books and manuscript thefts|John Holmes Jenkins|210.67|126.402
1442160986|How to buy rare books|William Rees-Mogg|906.93|544.158
1097556227|Antiquarian book monthly|john smith|664.48|398.688
0226532356|Westerns|Lee Clark Mitchell|725.71|435.426
0415924243|Westerns|Janet Walker|837.04|502.224
1707870166|Westerns|Paul Varner|89.64|53.784
0415558123|Westerns|John White|30.95|17.02
7646641764|Westerns|Philip French|571.13|342.678
0195082680|West of everything|Jane P. Tompkins|19.0|9.99
0786410760|Westerns and American culture, 1930-1955|R. Philip Loy|24.99|14.74
0786420286|Westerns Women|Boyd Magers|302.99|181.794
1845112075|Spaghetti westerns|Christopher Frayling|530.43|318.258
0253214149|John Ford made westerns|Gaylyn Studlar|888.34|533.004
8247020051|Old Christmas|Washington Irving|749.09|449.454
0821778064|This Christmas|Jane Green|588.96|353.376
1575055805|Christmas Around the World|Emily Kelley|755.76|453.456
1608890058|Christmas|James Lantos|742.59|445.554
8705979005|A Christmas carol in prose, being a ghost story of Christmas|Charles Dickens|311.13|186.678
4914229084|Christmas|Robert Haven Schauffler|855.87|513.522
1560653272|Christmas|Martin Hintz|691.76|415.056
0823415821|Christmas is ...|Gail Gibbons|302.19|181.314
5131718807|Christmas|Zona Gale|704.63|422.778
0520258029|Christmas|Bruce David Forbes|16.95|9.99
1557094624|The art of cookery made plain and easy|Hannah Glasse|845.49|507.294
155709439X|American Cookery|Amelia Simmons|281.19|168.714
920113750|Cookery|John Charles Buckmaster|0.09|0.054
943824652|Jennie June's American cookery book|Jane Cunningham Croly|724.72|434.832
1570672202|Tofu Cookery|Louise Hagler|678.46|407.076
1166499502|Cookery|Marguerite Ninet|758.58|455.148
9667060149|Murray's modern cookery book. Modern domestic cookery, by a lady|Modern domestic cookery|533.01|319.806
0713174919|Cookery|Victor Ceserani|380.21|228.126
8741646358|Lessons in cookery|National Training School for Cookery (Great Britain)|183.77|110.262
8032417720|Two fifteenth-century cookery-books|British Library|34.24|20.544
4348507646|Illustrated history of furniture|Frederick Litchfield|806.21|483.726
2526918393|Early illustrated books|Alfred William Pollard|25.85|15.51
963427481|Illustrated|john smith|358.94|215.364
4538136555|The illustrated natural history|John George Wood|491.05|294.63
0060674407|The illustrated world's religions|Huston Smith|786.52|471.912
0201325705|NFS illustrated|Brent Callaghan|948.05|568.83
0071446443|Boatowner's Illustrated Electrical Handbook|Charlie Wing|34.95|19.22
1118044908|Building Construction Illustrated|Francis D. K. Ching|813.72|488.232
0471741892|Building codes illustrated|Frank Ching|979.21|587.526
039953041X|Signing illustrated|Mickey Flodin|710.98|426.588
386079276|Numismatology|T. Forster|32.83|19.698
9961357863|Journal of the Asiatic Society of Bombay|Asiatic Society of Bombay|204.53|122.718
1495435199|The popular encyclopedia|Sir Daniel Keyte Sandford|803.27|481.962
2997995076|A bibliography on Far Eastern numismatology|Arthur Braddan Coole|496.16|297.696
3389100286|Iran almanac and book of facts|Echo Institute|209.64|125.784
1285261712|The Century Dictionary and Cyclopedia: The Century dictionary ... prepared under the superintendence of William Dwight Whitney ... rev. & enl. under the superintendence of Benjamin E. Smith|William Dwight Whitney|944.08|566.448
468458444|The imperial dictionary of the English language|John Ogilvie|268.4|161.04
4330240734|The Edinburgh encyclopaedia|Sir David Brewster|418.27|250.962
6334309524|The Edinburgh encyclopedia|Sir David Brewster|335.95|201.57
7531342067|unicodeErrorHere|Newton Ivory Lucas|109.26|65.556
0071412794|China|William Scott Morton|600.28|360.168
0385737491|China|Adeline Yen Mah|63.36|38.016
0674018281|China|John King Fairbank|233.14|139.884
0195306090|China|Susan L. Shirk|15.95|9.99
4451295085|China|Demetrius Charles de Kavanagh Boulger|629.44|377.664
1741048664|China|Damian Harper|25.59|15.1
1586484354|China|C. Fred Bergsten|25.0|13.95
077879301X|China|Bobbie Kalman|954.91|572.946
0731537033|China|Ross Garnaut|393.23|235.938
1563247305|China|Ray Huang|876.02|525.612
0759219028|Detective|Parnell Hall|8.99|7.55
1598892592|How to Be a Detective|Barbara Mitchelhill|100.49|60.294
0552165506|Detective|Arthur Hailey|663.89|398.334
0743283929|Detective|Kathy Burke|331.34|198.804
1603035737|Detective|Anonymous|152.4|91.44
0753410117|Detective stories|Philip Pullman|217.91|130.746
0767930770|Johannes Cabal the Detective|Jonathan L. Howard|228.7|137.22
0848803752|Detective|Roderick Thorp|285.46|171.276
0435271601|L.A. detective|Philip Prowse|721.87|433.122
1587541106|Detective|Parnell Hall|491.81|295.086
140676602X|Greek Myths|Olivia Coolidge|214.27|128.562
0753415259|Myths and Legends|Anthony Horowitz|765.8|459.48
4877225758|Myths and myth-makers|John Fiske|433.68|260.208
